ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0.0,0.0,0.0,17.647,0.0,23.0,0.0,0.0,101.0,25.882,49.804,16.078,31.765,13.333,0.0,102.0,0.0,27.0,5.0,485.0,356.4,12.46,0.0,0.0,6747.0,0.0,255.0
0.0,0.0,0.0,17.647,0.0,23.0,0.0,0.0,101.0,25.882,49.804,16.078,31.765,13.333,0.0,102.0,0.0,27.0,5.0,485.0,356.4,12.46,0.0,0.0,6747.0,0.0,255.0
0.0,0.0,0.0,17.647,0.0,23.0,0.0,0.0,101.0,25.882,49.804,16.078,31.765,13.333,0.0,102.0,0.0,27.0,5.0,485.0,356.4,12.46,0.0,0.0,6747.0,0.0,255.0
0.0,0.0,0.0,13.333,0.0,23.0,0.0,0.0,93.0,25.882,49.804,16.078,31.765,13.333,0.0,102.0,0.0,27.0,5.0,485.0,356.4,12.46,0.0,0.0,6747.0,0.0,255.0
0.0,0.0,0.0,13.333,0.0,23.0,0.0,0.0,93.0,25.882,49.804,16.078,31.765,13.333,0.0,102.0,0.0,27.0,5.0,485.0,356.4,12.46,0.0,0.0,6747.0,0.0,255.0
0.0,0.0,0.0,13.333,0.0,23.0,0.0,0.0,93.0,25.882,52.157,16.078,31.765,20.0,0.0,100.0,0.78431,27.0,5.0,485.0,356.4,11.777,0.0,0.0,6747.0,0.0,255.0
0.0,0.0,0.0,13.333,0.0,23.0,0.0,0.0,93.0,25.882,52.157,16.078,31.765,20.0,0.0,100.0,0.78431,27.0,5.0,485.0,356.4,11.777,0.0,0.0,6747.0,0.0,255.0
0.0,1842.0,0.0,20.0,25.098,23.0,5.4688,0.0,24.0,25.882,52.157,16.078,31.765,20.0,0.0,100.0,0.78431,26.0,24.0,485.0,356.4,11.777,0.0,0.0,6747.0,0.0,255.0
1.0,1842.0,0.0,20.0,25.098,23.0,5.4688,0.0,24.0,25.882,52.157,16.078,31.765,20.0,0.0,100.0,0.78431,26.0,24.0,485.0,356.4,11.777,0.0,0.0,6747.0,0.0,255.0
1.0,1842.0,0.0,20.0,25.098,23.0,5.4688,0.0,24.0,25.882,52.157,16.078,31.765,20.0,0.0,100.0,0.78431,26.0,24.0,485.0,356.4,12.07,0.0,0.0,6747.0,0.0,255.0
1.0,1842.0,0.0,20.0,23.529,23.0,5.4688,0.0,24.0,25.882,52.157,16.078,31.765,20.0,0.0,100.0,0.78431,26.0,24.0,485.0,356.4,12.07,0.0,0.0,6747.0,0.0,255.0
3.0,1871.8,0.0,20.0,23.529,23.0,5.4688,0.0,23.0,25.882,52.157,16.078,31.765,20.0,0.0,100.0,0.78431,27.0,24.0,485.0,356.4,12.07,0.0,0.0,6747.0,0.0,255.0
3.0,1871.8,0.0,20.0,23.529,23.0,5.4688,0.0,23.0,25.882,52.157,16.078,31.765,20.0,0.0,100.0,0.78431,27.0,24.0,30.4,27.5,14.316,0.0,0.0,6747.0,0.0,255.0
3.0,1871.8,0.0,20.0,23.529,23.0,5.4688,0.0,23.0,25.882,52.549,16.078,31.765,20.0,0.0,100.0,0.78431,27.0,24.0,30.4,27.5,14.316,0.0,0.0,6747.0,0.0,255.0
3.0,1871.8,0.0,20.0,31.765,23.0,5.4688,0.0,23.0,25.882,52.549,16.078,31.765,20.0,0.0,100.0,0.78431,27.0,24.0,30.4,27.5,14.316,0.0,0.0,6747.0,0.0,255.0
7.0,1229.5,0.0,20.0,31.765,23.0,4.6875,0.0,33.0,25.882,52.549,16.078,31.765,20.0,0.0,100.0,0.78431,27.0,12.0,30.4,27.5,14.316,0.0,0.0,6747.0,0.0,255.0
7.0,1229.5,0.0,20.0,31.765,23.0,4.6875,0.0,33.0,26.275,52.549,16.078,31.765,20.0,0.0,100.0,0.78431,27.0,12.0,44.0,27.5,14.316,0.0,0.0,6747.0,0.0,255.0
7.0,1229.5,0.0,20.0,31.765,23.0,4.6875,0.0,33.0,26.275,52.157,16.078,31.765,20.0,0.0,100.0,0.78431,27.0,12.0,44.0,27.5,14.296,0.0,0.0,6747.0,0.0,255.0
7.0,1347.5,0.0,20.0,31.765,23.0,4.6875,0.0,31.0,26.275,52.157,16.078,31.765,20.0,0.0,100.0,0.78431,27.0,4.0,44.0,27.5,14.296,0.0,0.0,6747.0,0.0,255.0
9.0,1347.5,0.0,20.0,31.765,23.0,4.6875,0.0,31.0,26.275,52.157,16.078,31.765,20.0,0.0,100.0,0.78431,27.0,4.0,44.0,27.5,14.296,0.0,0.0,6747.0,0.0,255.0
9.0,1347.5,0.0,20.0,31.765,24.0,4.6875,0.0,31.0,26.275,52.549,16.078,31.765,20.0,0.0,100.0,1.1765,27.0,4.0,53.3,27.5,14.316,0.0,0.0,6747.0,0.0,255.0
9.0,1347.5,0.0,20.0,31.765,24.0,4.6875,0.0,31.0,26.275,52.549,16.078,31.765,20.0,0.0,100.0,1.1765,27.0,4.0,53.3,27.5,14.316,0.0,0.0,6747.0,0.0,255.0
9.0,1406.2,0.0,20.392,32.549,24.0,4.6875,0.0,32.0,26.275,52.549,16.078,31.765,20.0,0.0,100.0,1.1765,28.0,-2.0,53.3,27.5,14.316,0.0,0.0,6747.0,0.0,255.0
11.0,1406.2,0.0,20.392,32.549,24.0,4.6875,0.0,32.0,26.275,52.549,16.078,31.765,20.0,0.0,100.0,1.1765,28.0,-2.0,53.3,27.5,14.316,0.0,0.0,6747.0,0.0,255.0
11.0,1406.2,0.0,20.392,32.549,24.0,4.6875,0.0,32.0,26.275,52.941,16.078,31.765,20.392,0.0,100.0,1.1765,28.0,-2.0,64.1,27.6,14.335,0.0,0.0,6747.0,0.0,255.0
