engine_run_time_,engine_rpm_,vehicle_speed_,throttle_,engine_load_,coolant_temperature_,long_term_fuel_trim_bank_1_,short_term_fuel_trim_bank_1_,intake_manifold_pressure_,fuel_tank_,absolute_throttle_b_,pedal_d_,pedal_e_,commanded_throttle_actuator_,fuel_air_commanded_equiv_ratio_,absolute_barometric_pressure_,relative_throttle_position_,intake_air_temp_,timing_advance_,catalyst_temperature_bank1_sensor1_,catalyst_temperature_bank1_sensor2_,control_module_voltage_,commanded_evaporative_purge_,time_run_with_mil_on_,time_since_trouble_codes_cleared_,distance_traveled_with_mil_on_,warm_ups_since_codes_cleared_
0.0,0.0,0.0,17.647058,0.0,25.0,-2.34375,0.0,101.0,36.07843,49.803921,16.078432,31.764706,13.333333,0.0,100.0,0.0,25.0,5.0,434.700012,295.100006,12.324,0.0,0.0,7835.0,0.0,255.0
0.0,0.0,0.0,17.647058,0.0,25.0,-2.34375,0.0,101.0,36.07843,49.803921,16.078432,31.764706,13.333333,0.0,100.0,0.0,25.0,5.0,434.700012,295.100006,12.343,0.0,0.0,7835.0,0.0,255.0
0.0,0.0,0.0,17.647058,0.0,25.0,-2.34375,0.0,101.0,36.07843,49.803921,16.078432,31.764706,13.333333,0.0,100.0,0.0,25.0,5.0,434.700012,295.100006,12.343,0.0,0.0,7835.0,0.0,255.0
0.0,0.0,0.0,18.039215,0.0,25.0,-2.34375,0.0,101.0,36.07843,49.803921,16.078432,31.764706,13.333333,0.0,100.0,0.0,25.0,5.0,434.700012,295.100006,12.343,0.0,0.0,7835.0,0.0,255.0
0.0,0.0,0.0,18.039215,0.0,25.0,-2.34375,0.0,101.0,36.07843,49.803921,16.078432,31.764706,13.333333,0.0,100.0,0.0,25.0,5.0,434.700012,295.100006,12.343,0.0,0.0,7835.0,0.0,255.0
0.0,0.0,0.0,18.039215,0.0,25.0,-2.34375,0.0,101.0,36.07843,44.705883,16.078432,31.764706,19.215687,0.0,100.0,0.0,25.0,5.0,434.700012,295.100006,10.332,0.0,0.0,7835.0,0.0,255.0
0.0,1732.75,0.0,18.039215,27.843138,25.0,2.34375,0.0,26.0,36.07843,44.705883,16.078432,31.764706,19.215687,0.0,100.0,0.0,25.0,24.0,434.700012,295.100006,10.332,0.0,0.0,7835.0,0.0,255.0
1.0,1732.75,0.0,20.0,27.843138,25.0,2.34375,0.0,26.0,36.07843,44.705883,16.078432,31.764706,19.215687,0.0,100.0,0.0,24.0,24.0,434.700012,295.100006,10.332,0.0,0.0,7835.0,0.0,255.0
1.0,1732.75,0.0,20.0,27.843138,25.0,2.34375,0.0,26.0,36.07843,52.156864,16.078432,31.764706,19.215687,0.0,100.0,0.784314,24.0,24.0,434.700012,295.100006,11.953,0.0,0.0,7835.0,0.0,255.0
1.0,1732.75,0.0,20.0,27.843138,25.0,2.34375,0.0,26.0,36.07843,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,24.0,24.0,434.700012,295.100006,11.953,0.0,0.0,7835.0,0.0,255.0
1.0,1820.25,0.0,20.0,23.529411,25.0,2.34375,0.0,23.0,36.07843,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,24.0,24.0,434.700012,295.100006,11.953,0.0,0.0,7835.0,0.0,255.0
3.0,1820.25,0.0,20.0,23.529411,25.0,2.34375,0.0,23.0,36.07843,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,24.0,24.0,434.700012,295.100006,11.953,0.0,0.0,7835.0,0.0,255.0
3.0,1820.25,0.0,20.0,23.529411,25.0,2.34375,0.0,23.0,36.07843,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,24.0,24.0,25.699997,24.599998,14.14,0.0,0.0,7835.0,0.0,255.0
3.0,1820.25,0.0,20.0,23.529411,25.0,2.34375,0.0,23.0,36.07843,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,24.0,24.0,25.699997,24.599998,14.14,0.0,0.0,7835.0,0.0,255.0
4.0,1722.5,0.0,19.607843,23.921568,25.0,2.34375,0.0,23.0,36.07843,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,25.0,21.0,25.699997,24.599998,14.14,0.0,0.0,7835.0,0.0,255.0
4.0,1722.5,0.0,19.607843,23.921568,25.0,2.34375,0.0,23.0,36.07843,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,25.0,21.0,30.099998,24.599998,14.14,0.0,0.0,7835.0,0.0,255.0
4.0,1722.5,0.0,19.607843,23.921568,25.0,2.34375,0.0,23.0,36.07843,51.764706,16.078432,31.764706,19.607843,0.0,100.0,0.392157,25.0,21.0,30.099998,24.599998,14.414,0.0,0.0,7835.0,0.0,255.0
4.0,1630.25,0.0,19.607843,23.529411,25.0,2.34375,0.0,23.0,36.07843,51.764706,16.078432,31.764706,19.607843,0.0,100.0,0.392157,25.0,21.0,30.099998,24.599998,14.414,0.0,0.0,7835.0,0.0,255.0
6.0,1630.25,0.0,19.607843,23.529411,25.0,2.34375,0.0,23.0,36.07843,51.764706,16.078432,31.764706,19.607843,0.0,100.0,0.392157,25.0,20.0,30.099998,24.599998,14.414,0.0,0.0,7835.0,0.0,255.0
6.0,1630.25,0.0,19.607843,23.529411,25.0,2.34375,0.0,23.0,36.07843,51.764706,16.078432,31.764706,19.607843,0.0,100.0,0.392157,25.0,20.0,36.5,24.599998,14.414,0.0,0.0,7835.0,0.0,255.0
6.0,1630.25,0.0,19.607843,23.529411,25.0,2.34375,0.0,23.0,36.07843,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.392157,25.0,20.0,36.5,24.599998,14.414,0.0,0.0,7835.0,0.0,255.0
6.0,1542.75,0.0,19.215687,23.921568,26.0,2.34375,0.0,24.0,36.07843,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.392157,25.0,15.0,36.5,24.599998,14.414,0.0,0.0,7835.0,0.0,255.0
8.0,1542.75,0.0,19.215687,23.921568,26.0,2.34375,0.0,24.0,36.07843,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.392157,25.0,15.0,36.5,24.599998,14.414,0.0,0.0,7835.0,0.0,255.0
8.0,1542.75,0.0,19.215687,23.921568,26.0,2.34375,0.0,24.0,36.07843,53.725491,16.078432,31.764706,20.784313,0.0,100.0,1.960784,25.0,15.0,44.099998,24.599998,13.593,0.0,0.0,7835.0,0.0,255.0
8.0,1542.75,0.0,19.215687,23.921568,26.0,2.34375,0.0,24.0,36.07843,53.725491,16.078432,31.764706,20.784313,0.0,100.0,1.960784,25.0,15.0,44.099998,24.599998,13.593,0.0,0.0,7835.0,0.0,255.0
